BurialID,SquareID,AreaID,BurialNumber,DateFound,BurialDepth,LengthM,LengthCM,ClusterNumber,SampleNumber,Rack,Shelf,Bag,PreviouslySampled,SexBody,SexGiles,GE_FunctionTotal,SouthToHead,SouthToFeet,EastToHead,EastToFeet,NorthToHead,NorthToFeet,WestToHead,WestToFeet,Description,BasilarSuture,VentralArc,SubPubicAngle,SciaticNotch,PubicBone,PreaurSulcus,MedialIPRamus,DorsalPitting,ForemanMagnum,FemurHead,HumerusHead,Osteophytosis,PubicSymphysis,BoneLength,MedialClavicle,IliacCrest,FemurDiameter,Humerus,FemurLength,HumerusLength,TibiaLength,Robust,SupraorbitalRidges,OrbitEdge,ParietalBossing,Gonian,NuchalCrest,ZygomaticCrest,CranialSuture,MaximumCranialLength,MaximumCranialBreadth,BasionBregmaHeight,BasionNasion,BasionProsthionLength,BizygomaticDiameter,NasionProsthion,MaximumNasalBreadth,decimalerorbitalBreadth,HairColor,PreservationIndex,HairTaken,SoftTissueTaken,BoneTaken,ToothTaken,TextileTaken,DescriptionOfTaken,ArtifactFound,EstimatedAge,AgeMethod,EstimateLivingStature,ToothAttrition,ToothEruption,PathologyAnomalies,EpiphysealUnion,HeadDirection,BYUSample,BodyAnalysisYear,SkullAtMagazine,PostcraniaAtMagazine,ToBeConfirmed,SkullTrauma,PostCraniaTrauma,CribiaOrbitala,PoroticHyperotosis,PoroticHyperotosisLocations,MetopicSuture,ButtonOsteoma,OsteologyUnknownComment,TMJ_OA,LinearHypoplasiaEnamel,AreaHillBurials,Tomb,BurialPreservation,BurialWrapping,BurialAdultChild,GenderCode,BurialGenderMethod,AgeCodeSingle,FaceBundle,DateOnSkull
,3,0,22,2/21/00,175,,160,,23,,,,,Male,Male,917.6714,305,280,420,250,,,,,"POORLY PRESERVED / FEW TEXTILES
 
 Textile: linen - little ribbon
 some linen scraps",Closed,0,1,1,1,0,0,0,,46.5,42,Slight,,,,,,,44.5,32.6,,1,1,1,1,1,1,1,Closed,188.57,138.21,134.35,109.49,95.42,124.86,75.1,24.37,26.01,Brown,IV,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,40,,222.87,,3rd molar,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,23,2/21/00,195,,45,,,,,,,Undetermined,Undetermined,0,335,335,350,415,,,,,"CHILD
 
 Textile: Beautiful PURPLE strip - PURPLE stripped linen bag w/ draw string - baby inside",,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Red,,FALSE,FALSE,TRUE,FALSE,FALSE,3 Ribs,FALSE,2.5,,,,2 lower front,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,24,2/21/00,190,,165,,31,,,,,Male,Male,934.8716,285,260,425,265,,,,,"Preservation Index: bewtween III & IV
 
 Textile: (slide & sample) - long straight fringe linen - palm leaves / fronds - palm branches under outer wrap - coarse outer wrap w/ red & white ribbons - 7 wraps total inclupin (?)
 
 Long straight black hair
 Osteoporosis
 Beautiful teeth",Closed,0,0,1,1,0,0,1,,49,50,,,,,,,,,,,0,1,0,1,1,1,1,,189.03,135.47,136.16,104.23,94.07,133.22,69.11,23.18,26.21,Black,IV,FALSE,FALSE,FALSE,TRUE,FALSE,Upper & lower molars - have samples,FALSE,,,,,All molars,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,25,2/21/00,135,,180,,,,,,,Undetermined,Undetermined,0,310,325,190,0,,,,,PURPLE wool in linen wrap / wool disintegrating (slide taken) - LEAVING IN MAGZIN FOR FUTURE ANALYSIS.,,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,26,2/21/00,240,,110,,,,,,,Female,Undetermined,0,280,290,290,400,,,,,"YOUNG PERSON
 
 Textile: linen wrap
 
 femur head no developed - too young
 basilar suture not closed all the way
 
 Teeth: Hardly worn teeth - 2 molars on each side - bottom & top in - 3rd molar not in yet - ridges on bottom teeth indicating youth.",,0,0,3,0,0,0,0,,,,,,,,,,,,,,3,3,3,3,3,0,3,,0,0,0,0,0,0,0,0,0,Brown,II,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,14,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,27,2/22/00,125,,65,,,,,,,Undetermined,Undetermined,0,420,425,410,350,,,,,"POOR PRESERVED - linen wrap, linen strips banding
 
 Hair: blond / red
 
 Textile: 7 layers of linen on head.",,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Blonde,IV,FALSE,FALSE,TRUE,TRUE,FALSE,"2 teeth (molars)
 Ribs",FALSE,6,,,,1st molar,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,28,2/22/00,130,,65,,,,,,,Undetermined,Undetermined,0,240,245,460,395,,,,,"YOUNG - Badly preserved
 
 Crystalline formation",Open,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Blonde,V,FALSE,FALSE,FALSE,FALSE,FALSE,crystal from body,FALSE,3,,,,None,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,29,2/22/00,135,,85,,,,,,,Undetermined,Undetermined,0,230,235,535,455,,,,,"CHILD
 
 Textile: coarse linen - 3 layers - linen bands.",Open,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,IV,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,12,,,,2nd molar,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,3,2/12/00,55,,156,,,,,,,Female,Undetermined,0,365,369,247,106,,,,,"Hair: Blond / Brown
 
 Arms @ side - left foot crosses right foot
 
 Textile: 4-strand red ribbon outer wrap - some crossing - 10 layers of outer wrapping - exterior layer = finer weave than 9 interior layers
 2cm wide coarse strips / wrapping under outside fine layer
 
 Bound w/ reed stick interior along legs up to mid-rib cage.",,0,0,3,0,0,0,0,,44.2,39.9,Heavy,,,,,,,41.5,29.3,36,3,1,3,0,3,1,0,Closed,0,0,0,0,0,0,0,0,0,Blonde,,FALSE,TRUE,TRUE,TRUE,FALSE,"Lung
 Rib",FALSE,,,156.605,V,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,30,2/22/00,130,,170,,106,,,,,Female,Female,863.8136,345,325,185,20,,,,,"A LOT OF SKIN / BITOMINOUS MATERIAL (BLACK)
 
 Bugs in pelvis
 
 RIGHT FOOT OVER LEFT - Right upper orbit broken near nose
 
 Textile: Face bundle - 
 
 Hair: long brown hair",Closed,0,3,3,3,0,0,0,,46.5,48,,,,,,,,,,,3,3,3,3,3,3,3,,174.92,136.82,127.43,92.41,88.61,121.52,73.03,26.18,22.52,Brown,III,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,23,,,,2nd molar,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,31,2/23/00,145,,125,,,,,,,Undetermined,Undetermined,0,290,265,175,55,,,,,"BADLY DETERIORATED CHILD
 
 Textile: No ribbons or banding - shrouded in coarse linen - finer underneath - then under that coarse w/ linen binding - then 15 layers of linen wrapping underneath.",,0,0,0,0,0,0,0,,,,,,,,,,,,,,3,3,3,3,3,3,3,,0,0,0,0,0,0,0,0,0,Brown,III,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,,,,2nd molar,,No,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,32,2/23/00,125,,160,,80,,,,,Male,Male,896.1484,470,480,470,320,,,,,"Textile: Linen - red & white ribbon
 
 Face bundle - in bad condition.",Closed,1,1,1,1,0,0,0,,48.5,42.4,,,,,,,,,,,3,1,1,1,1,1,1,,174.77,137.25,135.95,100.66,90.06,127.66,70.32,23.23,20.14,Red,IV,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,38,,,IV,3rd molar,"Tooth attrition: between III & IV
 
 3rd molar in then lost.",,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,33,2/23/00,135,,174,,81,,,,,Male,Male,932.9494,470,470,480,320,,,,,"Preservation Index: between III & V
 
 Palm branches inside wrapping
 
 Textile: red & white ribbon
 Face bundle - coarse - fine - coarse
 
 All layers next to body carbonized - photo taken",Closed,1,1,1,1,0,0,1,,52,46.5,,,,,,,,,,,3,1,1,1,3,3,3,,188.68,145.5,137.52,112.38,98.16,128.97,72.98,22.02,24.2,Red,V,FALSE,FALSE,TRUE,FALSE,TRUE,red & black threads on linen wrapped w/ red & white ribbon - palm branches inside wrapof feet.,FALSE,,,,III,3rd molar,Upper & lower molars missing - 3rd molar had erupted.,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,34,2/23/00,75,,80,,,,,,,Undetermined,Undetermined,0,40,50,375,305,,,,,"POORLY PRESERVED - Dates listed w/ burial
 
 Hair: red / brown
 
 Hands: Fingers, fingernails well preserved
 
 Textile: Red & white ribbon & cord - heavy coarse weave - wrappings = rope wrap underneath & on top.",,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,Open,0,0,0,0,0,0,0,0,0,Red,IV,FALSE,FALSE,TRUE,TRUE,FALSE,,TRUE,7,,,,1st molar,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,35,2/23/00,145,,185,,90,,,,,Male,Male,941.2778,335,330,180,0,,,,,"Hair: red / brown
 
 Textile: heavy linen wrappings w/ red & white ribbon - 2 layers of linen fine then red thread - LOTS OF BUGS / larvae (flourescent) in head / hair
 
 PHOTO TAKEN - 
 LARGE KNOT -",,0,1,1,0,0,0,3,,49.5,43.6,,,,,,,,,,,0,0,1,0,1,0,0,,186.98,137.89,131.82,99.46,94.16,127.82,93.97,23.13,21.36,Red,III,FALSE,FALSE,TRUE,TRUE,TRUE,Wool Fabric in welf of linen - nice samples,TRUE,,,,II,3rd molar,1st molar missing below,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,36,2/23/00,95,,,,,,,,,Undetermined,Undetermined,0,110,0,440,0,,,,,"IN PIECES - ONLY CLOTH
 
 NEW BORN to 1 YEAR",,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Red,,FALSE,FALSE,TRUE,FALSE,TRUE,"Ribs
 Cloth taken",FALSE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,37,2/23/00,168,,70,,,,,,,Undetermined,Undetermined,0,415,417,475,420,,,,,SMALL CHILD - POORLY PRESERVED,Open,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Red,V,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,3,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,38,2/23/00,175,,80,,,,,,,Undetermined,Undetermined,0,420,420,410,335,,,,,"CHILD
 
 Textile: Linen plain - coarse linen next to skin - finer on exterior on head - coarser exterior on legs - finer exterior linen begins at thighs & going over body - fiber rope wrap - finen linen only in on front - wrapping on interior = coarse / fine / coarse - rope holding 3 layers linen.",,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Blonde,III,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,11,,,,2nd molars,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,39,2/22/00,195,,170,,,,,,,Undetermined,Undetermined,0,425,425,475,325,,,,,"Head west
 
 Textile: Linen nubby - rough exterior linen becoming finer inside - under layers linen also wrapped & tied linen strips - under outer wrap 3 BIG layers w/ fringe - sample taken - bottom layer was rope fringe - 3 layers w/ rope fringe then another w/ loose fringe - Face bundle - many layers of linen - 7 layers linen - linen strips tied in knot in back - looped through self for half-hitch knots.
 
 3 PHOTOS TAKEN",,0,0,1,1,0,0,3,,47.1,42.1,None,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,III,FALSE,FALSE,FALSE,FALSE,TRUE,Fabric,FALSE,,,,II,3rd molar,No cavities,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,4,2/12/00,46,,85,,,,,,,Undetermined,Undetermined,0,355,354,167,94,,,,,"INFANT
 
 Hair: auburn
 
 Textile: coarse weave / red & white ribbon
 
 Crosote hay on chest",,0,0,0,0,0,0,0,,16.6,,,,,,,,,16,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,Brown,,FALSE,TRUE,FALSE,FALSE,FALSE,Chest area,TRUE,5,,93.62,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,40,2/23/00,257,,140,,,,,,,Female,Undetermined,0,200,190,390,510,,,,,REVERSAL,,0,0,0,0,0,0,0,,,,,,,,,,,,,,3,3,3,3,3,3,3,,0,0,0,0,0,0,0,0,0,Brown,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,15,,,II,2nd molar,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,41,2/23/00,260,,145,,87,,,,,Female,Female,842.7956,220,210,393,515,,,,,"REVERSAL - HEAD EAST
 
 No textile",,3,3,3,3,0,0,3,,40,38.3,,II,,,,,,,,,3,3,3,3,0,3,3,,165.23,142.44,121.77,92.51,92.27,119.74,73.55,23.39,20.85,Brown,V,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,,,,,3rd molar,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,42,2/23/00,210,,140,,,,,,,Male,Undetermined,0,270,280,160,20,,,,,Head West,Closed,0,1,1,1,0,0,0,,49.6,43.6,None,,,,,,,,,,3,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,Brown,V,FALSE,FALSE,FALSE,TRUE,FALSE,Tooth for DNA,FALSE,,,,III,3rd molar,,Yes,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,43,2/23/00,220,,165,,77,,,,,Male,Male,925.6816,440,450,510,335,,,,,"Head West
 
 Hair: Brown / Red
 Beard: Red beard
 
 PHOTO TAKEN",Closed,1,1,1,1,0,0,1,,54,49.2,,,,,,,,,,,1,1,1,0,1,1,1,,186.52,146.8,133.94,109.15,96.41,131.73,65.1,27.7,22.13,Brown,V,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,,,,V,,All teeth gone except #9 - #9 has a cavity,,W,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,44,2/23/00,220,,80,,,,,,,Undetermined,Undetermined,0,420,410,255,335,,,,,"REVERSAL - HEAD EAST (PRECHRISTIAN)
 
 VERY POORLY PRESERVED SKELETON
 
 Small amount of textile",,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,V,FALSE,FALSE,TRUE,TRUE,TRUE,Textile: green w/ dark strip,FALSE,12,,,,2nd molar,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,45,2/23/00,245,,180,,,,,,,Male,Undetermined,0,310,150,360,340,,,,,"REVERSAL - HEAD EAST
 
 SKELETON ONLY
 
 Hair: brown / red
 
 Textile: linen scraps - medium weave",Closed,0,0,3,0,0,0,1,,48.4,43,,,,,,,,,,,3,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,Brown,V,FALSE,FALSE,TRUE,TRUE,FALSE,"Ribs
 Upper molar",FALSE,25,,,II,3rd molar,Upper molars lost during life,,E,,,,,,,,,,,,,,,,,,,,,,,,,
,3,0,46,2/23/00,200,,178,,86,,,,,Male,Male,895.9896,420,430,175,0,,,,,"POORLY PRESERVED - SEEMS TO BE WEALTH B/C 21 LAYERS OF COARSE LINEN
 
 Head West
 
 Textile: Large face bundle - many layers - large rope twist - 7 layers - 25 folded layers over face",Closed,0,3,1,1,0,0,1,,46.5,43.6,,,,,,,,,,,1,1,0,1,1,1,3,,177.88,145.38,136.95,102.01,98.4,128.9,68.63,23.74,22.19,Brown,IV,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,30,,,,3rd molar,,,W,,,,,,,,,,,,,,,,,,,,,,,,,
